name,code
Aach,07235001
Aach,08335001
Aachen,05334002
Aalen,08136088
Aarbergen,06439001
Aasbüttel,01061001
Abenberg,09576111
Abenberger Wald,09576451
Abensberg,09273111
Abentheuer,07134001
Absberg,09577111
Abstatt,08125001
Abtsbessingen,16065001
Abtsgmünd,08136002
Abtsteinach,06431001
Abtswind,09675111
Abtweiler,07133001
Achberg,08436001
Achern,08317001
Achim,03361001
Achslach,09276111
Achstetten,08426001
Acht,07137001
Achtelsbach,07134002
Achterwehr,01058001
Achtrup,01054001
Adelberg,08117001
Adelebsen,03152001
Adelheidsdorf,03351001
Adelmannsfelden,08136003
Adelschlag,09176111
Adelsdorf,09572111
Adelsheim,08225001
Adelshofen,09179111
Adelshofen,09571111
Adelsried,09772111
Adelzhausen,09771111
Adenau,07131001
Adenbach,07336001
Adenbüttel,03151001
Adendorf,03355001
Adenstedt,03254001
Adlkofen,09274111
Admannshagen-Bargeshagen,13072001
Adorf/Vogtl.,14523010
Aebtissinwisch,01061002
Aerzen,03252001
Affalterbach,08118001
Affing,09771112
Affinghausen,03251001
Affler,07232001
Agathenburg,03359001
Agethorst,01061003
Aglasterhausen,08225002
Aham,09274112
Ahaus,05554004
Ahausen,03357001
Ahlbeck,13075001
Ahlden (Aller),03358001
Ahlefeld-Bistensee,01058175
Ahlen,05570004
Ahlerstedt,03359002
Ahlsdorf,15087010
Ahlstädt,16069001
Ahnatal,06633001
Ahneby,01059102
Ahnsbeck,03351002
Ahnsen,03257001
Aholfing,09278112
Aholming,09271111
Ahorn,08128138
Ahorn,09473112
Ahorntal,09472111
Ahrbrück,07131002
Ahrensbök,01055001
Ahrensburg,01062001
Ahrensfelde,12060005
Ahrenshagen-Daskow,13073001
Ahrenshöft,01054002
Ahrenshoop,13073002
Ahrenviöl,01054003
Ahrenviölfeld,01054004
Aicha vorm Wald,09275111
Aichach,09771113
Aichelberg,08117002
Aichen,09774166
Aichhalden,08325001
Aichstetten,08436003
Aichtal,08116081
Aichwald,08116076
Aidenbach,09275112
Aidhausen,09674111
Aidlingen,08115001
Aiglsbach,09273113
Ailertchen,07143200
Aindling,09771114
Ainring,09172111
Aislingen,09773111
Aiterhofen,09278113
Aitern,08336004
Aitrach,08436004
Aitrang,09777111
Aken (Elbe),15082005
Aland,15090003
Albaching,09187186
Albbruck,08337002
Albersdorf,01051001
Albersdorf,16074001
Albershausen,08117003
Albersweiler,07337001
Albertshofen,09675112
Albessen,07336002
Albig,07331001
Albisheim (Pfrimm),07333001
Albsfelde,01053001
Albstadt,08417079
Aldenhoven,05358004
Aldersbach,09275114
Aldingen,08327002
Alerheim,09779111
Alesheim,09577113
Aletshausen,09774111
Alf,07135001
Alfdorf,08119001
Alfeld,09574111
Alfeld (Leine),03254002
Alfhausen,03459001
Alflen,07135002
Alfstedt,03357002
Alfter,05382004
Algermissen,03254003
Alheim,06632001
Alken,07137201
Alkersleben,16070001
Alkersum,01054005
Allenbach,07134003
Allendorf,07141001
Allendorf,16073001
Allendorf (Eder),06635001
Allendorf (Lumda),06531001
Allenfeld,07133002
Allensbach,08335002
Allersberg,09576113
Allershausen,09178113
Alleshausen,08426005
Alling,09179113
Allmannshofen,09772114
Allmannsweiler,08426006
Allmendingen,08425002
Allmersbach im Tal,08119003
Allstedt,15087015
Almdorf,01054006
Almersbach,07132001
Almstedt,03254004
Alpen,05170004
Alpenrod,07143202
Alperstedt,16068001
Alpirsbach,08237002
Alsbach,07143001
Alsbach-Hähnlein,06432001
Alsdorf,05334004
Alsdorf,07132002
Alsdorf,07232002
Alsenz,07333003
Alsfeld,06535001
Alsheim,07331002
Alsleben (Saale),15089005
Alt Bennebek,01059001
Alt Bukow,13072002
Alt Duvenstedt,01058003
Alt Krenzlin,13076001
Alt Meteln,13074001
Alt Mölln,01053002
Alt Schwerin,13071001
Alt Sührkow,13072003
Alt Tellin,13075002
Alt Tucheband,12064009
Alt Zachun,13076002
Alt Zauche-Wußwerk,12061005
Altbach,08116004
Altdöbern,12066008
Altdorf,07337002
Altdorf,08115002
Altdorf,08116005
Altdorf,09274113
Altdorf b. Nürnberg,09574112
Altefähr,13073003
Alteglofsheim,09375113
Altena,05962004
Altenahr,07131003
Altenbamberg,07133003
Altenbeken,05774004
Altenberg,14628010
Altenberga,16074002
Altenberge,05566004
Altenbeuthen,16073002
Altenbuch,09676111
Altenburg,16077001
Altendiez,07141002
Altendorf,09376112
Altendorf,09471111
Altenfeld,16070002
Altenglan,07336003
Altengottern,16064001
Altenhagen,13071002
Altenhausen,15083020
Altenhof,01058004
Altenhof,13071003
Altenholz,01058005
Altenkirchen,07336004
Altenkirchen,13073004
Altenkirchen (Westerwald),07132501
Altenkrempe,01055002
Altenkunstadt,09478111
Altenmarkt a.d. Alz,09189111
Altenmedingen,03360001
Altenmoor,01061004
Altenmünster,09772115
Altenpleen,13073005
Altenriet,08116006
Altenstadt,06440001
Altenstadt,09190111
Altenstadt,09775111
Altenstadt a.d. Waldnaab,09374111
Altensteig,08235006
Altenthann,09375114
Altentreptow,13071004
Alterkülz,07140001
Altersbach,16066001
Altertheim,09679165
Altfraunhofen,09274114
Althegnenberg,09179114
Altheim,08425004
Altheim,08426008
Altheim (Alb),08425005
Althengstett,08235007
Althornbach,07340201
Althütte,08119004
Althüttendorf,12060012
Altkalen,13072004
Altkirchen,16077002
Altlandsberg,12064029
Altlay,07135003
Altleiningen,07332001
Altlußheim,08226003
Altmannstein,09176112
Altmärkische Höhe,15090007
Altmärkische Wische,15090008
Altmittweida,14522010
Altomünster,09174111
Altötting,09171111
Altrich,07231001
Altrip,07338001
Altscheid,07232003
Altshausen,08436005
Altstrimmig,07135004
Altusried,09780112
Altwarp,13075003
Altweidelbach,07140002
Altwigshagen,13075004
Alveslohe,01060002
Alzenau,09671111
Alzey,07331003
Am Großen Bruch,15083025
Am Großen Rhode,03158501
Am Mellensee,12072002
Am Ohmberg,16061116
Am Salzhaff,13072005
Amberg,09361000
Amberg,09778111
Amelinghausen,03355002
Amerang,09187113
Amerdingen,09779112
Ammeldingen an der Our,07232004
Ammeldingen bei Neuerburg,07232005
Ammerbuch,08416048
Ammerndorf,09573111
Ammersbek,01062090
Ammersee,09181451
Ammerthal,09371111
Amöneburg,06534001
Amorbach,09676112
Ampfing,09183112
Amstetten,08425008
Amt Neuhaus,03355049
Amt Wachsenburg,16070028
Amtsberg,14521010
Amtzell,08436006
An der Poststraße,15084012
Andechs,09188117
Anderlingen,03357003
Andernach,07137003
Andervenne,03454001
Andisleben,16068002
Angelbachtal,08226102
Angelburg,06534002
Angelroda,16070003
Anger,09172112
Angermünde,12073008
Angern,15083030
Anhausen,07138002
Ankershagen,13071005
Anklam,13075005
Ankum,03459002
Annaberg-Buchholz,14521020
Annaburg,15091010
